video_id	label_L0_raw	label_L0	label_L1_subject	label_L1_action	label_L2	label_L3
XcyHfR180hA_000008	playing congas	playing congas	playing bongos	slapping table	tap dancing	car engine idling
Hmh623kqD5g_000030	playing theremin	playing theremin	woman singing opera	theremin wailing	whale vocalization	disc scratching
qfwEfapK0go_000038	elk bugling	elk bugling	wolf howling	elk bellowing	heavy gate creaking	fireworks banging
WMZ3ZAMcE3s_000220	cat hissing	cat hissing	baby crying	cat yowling	door squeaking	foghorn
D1tl1eS7ubI_000000	female speech, woman speaking	woman speaking	man speaking	woman singing	radio tuning	playing vibraphone
GC1ajVlK-ek_000050	railroad car, train wagon	railroad car	semi truck	railroad car braking	geyser erupting	cat purring
NqzZbJJl3E4_000030	reversing beeps	reversing beeps	forklift beeping	truck turn signal clicking	heart monitor beeping	playing saxophone
z8Wjdss5uMg_000010	playing piano	playing piano	playing organ	piano droning	rubbing glass rims	playing oboe
B6d2FiFv8tU_000002	donkey, ass braying	donkey braying	rooster crowing	donkey screaming	door creaking	singing bowl
svnqpdO-7fc_000066	chinchilla barking	chinchilla barking	guinea pig squeaking	chinchilla squeaking	squeezing rubber toy	typing on typewriter
XzqUa_35-xs_000002	pheasant crowing	pheasant crowing	rooster crowing	pheasant squawking	squeaky toy	people burping
ZGubbE6cRL0_000040	people burping	people burping	frog croaking	people coughing	popping a cork	writing on blackboard with chalk
NyWZtL6Essc_000038	people belly laughing	people belly laughing	hyenas laughing	people coughing	machine gun firing	ambulance siren
_eBYRnly4m8_000097	playing cornet	playing cornet	playing saxophone	cornet soloing	man whistling	dog baying
TPeA5xENWIM_000065	cuckoo bird calling	hawk calling	whistle blowing	hawk screeching	squeaky toy	volcano explosion
4BFOgNwhpkQ_000303	eagle screaming	eagle screaming	hawk screeching	eagle squawking	squeaky hinge	people eating noodle
z4HX8-du2nQ_000070	helicopter	helicopter	propeller plane	helicopter flying	chainsaw running	playing cymbal
cmB8l4mQ1XQ_000030	playing accordion	playing accordion	playing bagpipes	accordion droning	breathing heavily	dog barking
Fo_FDiZhzDo_000030	skidding	tire skidding	skis scraping	tire hissing	tearing fabric	people sneezing
2Pl5B1Tpn1U_000024	electric grinder grinding	electric grinder grinding	circular saw cutting	electric grinder whirring	train wheels screeching	popping popcorn
4Psj5jYa7a4_000020	playing didgeridoo	playing didgeridoo	playing tuba	didgeridoo droning	motor running	firing muskets
0mNvPaqfwUI_000220	railroad car, train wagon	railroad car	roller coaster running	train engine knocking	horse galloping	sailing
R1dfaoCfy88_000003	playing trombone	playing trombone	playing tuba	trombone honking	sawing wood	air horn
TOEwQXeyNe8_000227	bull bellowing	bull bellowing	bear roaring	bull groaning	large door opening	people eating apple
75PJeJ2hGcw_000030	cat meowing	cat meowing	baby crying	cat yowling	violin screeching	striking pool
IS2lQophwDw_000050	people hiccup	people hiccuping	dog barking	people coughing	toy squeaking	hail
l1coM570kVw_000030	male singing	male singing	female singing	male chanting	violin playing	tapping guitar
mWaz8lJKZe8_000140	playing trumpet	playing trumpet	playing saxophone	trumpet wailing	balloon squeaking	cutting hair with electric trimmers
VViXFIbJNbk_000130	people finger snapping	people finger snapping	typewriter typing	people clicking tongue	cutting with scissors	people sobbing
BqY5blRv2Lw_000090	playing theremin	playing theremin	woman singing	theremin wailing	wind howling	tapping guitar
KCXiP1di11k_000028	people booing	people booing	lions roaring	people cheering	waterfall roaring	lighting firecrackers
DJbFAoB4-_o_000170	people hiccup	people hiccuping	dog hiccuping	people coughing	popping popcorn	fireworks banging
28StN9ykZ68_000094	beat boxing	beat boxing	person scat singing	drumming on table	drum machine	playing harpsichord
RHYNFIUe7H8_000001	canary calling	canary calling	finch chirping	canary whistling	squeaky wheel turning	footsteps on snow
x1BSrucmESI_000039	snake rattling	snake rattling	cicada buzzing	snake hissing	shaking maracas	waterfall burbling
xN-nKHyKx3E_000504	playing snare drum	playing snare drum	playing bongo drum	tapping on drum	hammering nails	underwater bubbling
OGyMalgBFxY_000001	lions growling	lions growling	bears growling	lions roaring	thunder rumbling	air conditioning noise
lNTgZsEJqEo_000103	train whistling	train whistling	air raid siren wailing	train braking	jet engine roaring	playing bass guitar
nhAiQyirHe0_000127	wood thrush calling	wood thrush calling	canary singing	wood thrush whistling	squeaky toy	splashing water
uh5D5Uuteew_000074	fox barking	fox barking	dog yelping	fox coughing	squeaky toy	baby laughter
9grtLEqt_RM_000330	people belly laughing	people belly laughing	hyena laughing	people screaming	machine gun firing	dog barking
4xWlOt4GOzs_000094	bull bellowing	bull bellowing	dog digging	bull snorting	shoveling gravel	playing glockenspiel
gTUu9V5zAME_000078	playing shofar	playing shofar	playing trumpet	man humming	air raid siren	planing timber
3GtKbvwaycY_000037	playing bassoon	playing bassoon	playing cello	bassoon trilling	speaking through a kazoo	parrot talking
EksjhWF0zqE_000020	waterfall burbling	waterfall burbling	river flowing	waterfall roaring	shower running	cat growling
ohQhjIk-qB0_000132	tractor digging	tractor digging	excavator digging	tractor engine running	giant robot moving	penguins braying
ItIo1RvO0PE_000020	church bell ringing	church bell ringing	alarm bell ringing	church bell chiming	hammering on anvil	children shouting
r1j1X3KJibM_000194	train whistling	train running	heavy machinery operating	train cars rattling	large gears turning	chipmunk chirping
jtRq_vXe9uQ_000246	lathe spinning	lathe spinning	angle grinder cutting	lathe grinding	electric guitar feedback	snake hissing
cK5aT07gOis_000151	playing steel guitar, slide guitar	playing steel guitar	playing synthesizer	steel guitar whining	sawing metal	chainsawing trees
qJCY09mrxtg_000216	dinosaurs bellowing	dinosaur bellowing	lion roaring	dinosaur roaring	train horn	using sewing machines
uA6Ycad4cLg_000173	blowtorch igniting	blowtorch igniting	jet engine roaring	blowtorch roaring	waterfall roaring	driving buses
4WH0ZxvF9Nw_000003	otter growling	otter growling	puppy whimpering	otter squeaking	squeezing a squeaky toy	driving motorcycle
YNwgT_8Vniw_000018	air horn	air horn	train horn	engine revving	burglar alarm	skiing
WgllfeO855E_000147	playing congas	playing congas	playing bongos	slapping table	galloping horse	wood thrush calling
476vNb6thyM_000030	playing acoustic guitar	playing acoustic guitar	playing piano	man humming	wind chimes ringing	fox barking
6TrIWYcBxBM_000010	people hiccup	person hiccuping	dog barking	person coughing	popping cork	people eating crisps
yvGSUZAf_CI_000230	cattle, bovinae cowbell	cattle mooing	whale calling	cattle bellowing	foghorn blowing	typing on typewriter
91k-dD34c94_000560	playing gong	playing gong	ringing church bell	gong rumbling	thunder rumbling	playing vibraphone
HLxIwN7KAks_000020	people sneezing	people sneezing	dog sneezing	people coughing	air brake	metronome
DexDu4FDEWM_000031	driving snowmobile	driving snowmobile	driving jet ski	snowmobile accelerating	electric guitar solo	waterfall burbling
y8Gfi9gGPRc_000248	people giggling	people giggling	hyena laughing	people sobbing	squeaky toy	lions growling
Rg971GlT_Ro_000021	pigeon, dove cooing	pigeon cooing	bats flapping wings	pigeon scrambling	shuffling cards	playing accordion
jTuNUZEFBJk_000100	orchestra	orchestra	choir singing	orchestra tuning up	strong wind howling	playing tabla
eB0kQ_zYdHc_000180	vacuum cleaner cleaning floors	vacuum cleaner	hair dryer	vacuum cleaner whining	electric sander	playing harpsichord
15pi8h_bHQE_000173	cow lowing	cow lowing	bear growling	cow moaning	foghorn blowing	pumping water
oPBrZeFpToY_000090	baby laughter	baby laughter	monkey chittering	baby coughing	squeaky toy	tractor digging
emRK12scb7w_000068	gibbon howling	gibbon howling	owl hooting	gibbon chirping	squeaky toy	running electric fan
_-W48cCMzXU_000102	baltimore oriole calling	baltimore oriole calling	sparrow chirping	baltimore oriole chirping	squeaky toy	dog howling
hm4pu5tkD0U_000154	playing table tennis	playing table tennis	playing air hockey	playing bongo drums	typewriter typing	people belly laughing
pCF6jJMaCnU_000030	playing harpsichord	playing harpsichord	playing piano	drumming on table	typing on keyboard	ocean burbling
kLySMIzASNE_000030	typing on typewriter	typing on typewriter	typing on keyboard	typewriter clattering	rain on tin roof	cat purring
PaQGXIh94uc_000150	playing ukulele	playing ukulele	playing mandolin	tapping ukulele	shaking maracas	playing cornet
fQRh2QW5RX8_000030	bird chirping, tweeting	bird chirping	owl hooting	bird calling	squeaky toy	baltimore oriole calling
ipSnR0fR_uA_000058	pheasant crowing	pheasant crowing	rooster crowing	pheasant squawking	dog squeaky toy	writing on blackboard with chalk
AA0Ekw6dlQo_000046	playing oboe	playing oboe	playing clarinet	woman whistling	bird singing	opening or closing car electric windows
1JsIcP2nXMw_000108	fox barking	fox barking	woman screaming	fox coughing	squealing brakes	mouse pattering
nXY2Vrfm0vY_000001	slot machine	slot machine	pinball machine	slot machine jackpot	wind chime tinkling	airplane flyby
_Oq8cy6T4KA_000091	tap dancing	tap dancing	woodpecker pecking	drumming on table	hammering nails	cheetah chirrup
zk1GeJP6Y00_000000	sea lion barking	sea lion barking	bear growling	sea lion coughing	starting a lawnmower	cat hissing
SRjsxeOWFnw_000030	motorboat, speedboat acceleration	motorboat accelerating	drone flying	motorboat revving	electric drill running	opening or closing car electric windows
DQIwRVrlYqI_000159	baltimore oriole calling	baltimore oriole calling	mouse squeaking	baltimore oriole chattering	video game sounds	cell phone buzzing
j_cywbssn70_000115	child singing	child singing	woman singing	child humming	violin playing	bird wings flapping
_Qnw4_agm-0_000030	playing harp	playing harp	playing guitar	strumming harp	wind chime tinkling	playing castanets
c40hgtfiYm0_000010	typing on typewriter	typing on typewriter	typing on keyboard	operating teletype machine	tap dancing	cheetah chirrup
9OcAwC8y-eQ_000030	reversing beeps	reversing beeps	forklift beeping	tractor horn honking	alarm clock ringing	tornado roaring
_GoMg7oF7Ww_000074	train whistling	train whistling	steamship horn	train brakes screeching	elephant trumpeting	owl hooting
bM5Ha8d-DoM_000009	coyote howling	coyote howling	wolf howling	coyote crying	ambulance siren	people humming
UVsgxlTzy-c_000073	playing washboard	playing washboard	playing guiro	scraping washboard	sawing wood	snake hissing
9i3NIA1NLeY_000060	playing harpsichord	playing harpsichord	playing piano	typing on keyboard	geiger counter clicking	missile launch
2g5hx_rynAI_000035	playing shofar	playing shofar	playing trumpet	shofar droning	air horn blowing	waterfall burbling
_-UGWlp0IG0_000150	people whistling	people whistling	bird singing	people humming	playing flute	duck quacking
gPekns88rQA_000270	cattle, bovinae cowbell	cowbell	wind chime	playing cowbell	pots and pans clanking	skidding
hTxXqAik2UU_000058	coyote howling	coyote howling	dog howling	coyote yelping	woman crying	people babbling
UY4v-zjlnlo_000010	playing violin, fiddle	playing violin	woman singing	whistling	sawing wood	skidding
KXRngbBe0bg_000080	tapping guitar	tapping guitar	playing synthesizer	sliding on guitar	arcade game sounds	playing theremin
aSJKZRwMsxE_000050	female singing	female singing	choir singing	female humming	violin playing	horse neighing
aFKTFN8p-pw_000053	playing cornet	playing cornet	playing trumpet	cornet sputtering	goose honking	cow lowing
3IwOig7sw6c_000030	chainsawing trees	chainsawing trees	angle grinder cutting	chainsaw revving	electric guitar playing	coyote howling
wPfv8ifzzyg_000030	lawn mowing	lawn mowing	leaf blowing	lawn mower engine running	boat engine running	police car (siren)
jGOFaS079Rc_000081	yodelling	yodelling	wolf howling	man crying	saxophone playing	playing electronic organ
N0c6P3Po5J0_000118	cuckoo bird calling	cuckoo bird calling	cricket chirping	cuckoo bird pecking	squeaky toy	playing vibraphone
a23NBJ73THw_000045	tractor digging	tractor digging	bulldozer digging	tractor plowing	large waterfall	playing timpani
7yk8XI5q7go_000030	orchestra	saxophone playing	clarinet playing	saxophone wailing	person humming	singing bowl
twvjW7ymUIQ_004159	cat purring	cat purring	person snoring	cat snoring	car engine idling	car passing by
1FnA3w94zXI_000030	tapping guitar	tapping guitar	playing synthesizer	shredding guitar	typing on keyboard	cricket chirping
SHk3gJAnm8U_000529	people sniggering	people sniggering	children laughing	people coughing	squeaky toy	cat meowing
HOqx0IZGgBk_000286	train whistling	train whistling	referee whistling	train horn blowing	smoke detector beeping	playing tambourine
ux7HhOxMRE4_000020	dog barking	dog barking	wolf howling	dog howling	siren wailing	playing cornet
tXLaQKRWM8I_000000	dog baying	dog baying	seal barking	dog coughing	hammering nails	dinosaurs bellowing
Nluf6HIYXXQ_000030	dog howling	dog howling	ambulance siren	dog whining	air raid siren	people booing
10YXuv9Go0E_000140	skateboarding	skateboarding	scooter riding	skateboard scraping	grinding metal	ice cracking
qoVQyvJcKkQ_000460	people eating noodle	person eating noodles	pig eating	person gargling	unclogging a drain	horse neighing
5qVc9y3TNnY_000030	female singing	female singing	male singing	female chanting	tribal drumming	volcano explosion
9XuTWG0Svls_000041	popping popcorn	popping popcorn	popping bubble wrap	popcorn exploding	typewriter typing	roller coaster running
g0RkIkC2meo_000030	fire truck siren	fire truck siren	ambulance siren	fire truck alarm	electric guitar feedback	elephant trumpeting
Jj3Ie49Mzik_000020	people whistling	people whistling	bird singing	people humming	theremin playing	playing vibraphone
ZedCPKaacjU_000326	airplane	airplane taking off	rocket taking off	airplane flying	waterfall roaring	hammering nails
vf8cYm5yVy4_000026	air horn	air horn	train horn	truck engine revving	trumpet playing	people humming
A8gbOIvxvMA_000030	playing cello	playing cello	playing violin	scratching cello	sawing wood	sharpen knife
ycjnLHuYx7U_000035	playing mandolin	playing mandolin	playing acoustic guitar	shaking maracas	sawing wood	people booing
1Isq_KJHriU_000016	dog baying	dog baying	wolf howling	dog howling	foghorn sounding	chicken crowing
pX0Jhk6e2Uw_000030	playing trumpet	playing trumpet	playing violin	man scat singing	fast typing on keyboard	rapping
LDGzSk_vzPo_000260	bird wings flapping	bird wings flapping	person shaking blanket	bird shaking feathers	shuffling cards	wood thrush calling
XySWOKnenIA_000000	electric grinder grinding	electric grinder grinding	electric drill drilling	electric grinder cutting	wasps buzzing	cricket chirping
amEW4O2Z350_000035	playing glockenspiel	playing glockenspiel	playing xylophone	glockenspiel ringing	tapping on glass	car engine knocking
oswEaAsFXDM_000170	car engine starting	car engine starting	chainsaw engine starting	car engine idling	leaf blower running	waterfall burbling
N8iIq2UzZLk_000030	playing acoustic guitar	playing acoustic guitar	playing harp	strumming acoustic guitar	music box playing	baby babbling
7RNTXUuCKoQ_000029	children shouting	children shouting	monkeys screeching	children crying	squeaky toy	civil defense siren
ov4fdnGwzWU_000520	playing trumpet	playing trumpet	playing saxophone	human singing	ambulance siren	owl hooting
rmL21Z7wZuk_000020	blowtorch igniting	blowtorch igniting	gas stove burning	blowtorch roaring	compressed air leaking	francolin calling
8JgqLELdUkY_000030	cat meowing	cat meowing	baby crying	cat whining	squeaky toy	playing theremin
Bgnaur8-fas_000160	playing bongo	playing bongo	playing conga	tapping on table	knocking on door	snake hissing
Ii5W65uAeF0_000056	people slurping	people slurping	dog drinking	people gulping	plunger plunging	slot machine
z6oqPB07X3o_000030	people sniggering	people sniggering	hyena laughing	people squealing	car engine sputtering	missile launch
D3BJuOwltoI_000010	driving motorcycle	motorcycle idling	truck engine idling	motorcycle engine roaring	large fan spinning	playing table tennis
aWgRtDIA2U4_000029	turkey gobbling	turkey gobbling	monkey chattering	turkey trilling	rattlesnake rattling	cat hissing
d-1th_S4J0U_000000	people belly laughing	people belly laughing	kookaburra calling	people hiccuping	small engine sputtering	fox barking
_6gpB_Trvo8_000000	car engine starting	car engine starting	boat motor starting	car engine sputtering	chainsaw starting	playing mandolin
B7Iab-AC3Dw_000110	playing bass drum	playing bass drum	beatboxing	tapping on table	hammering nails	air horn
GrACpo7aonA_000030	playing drum kit	playing drum kit	playing buckets	banging on drum kit	typing on typewriter	playing sitar
_QjCOK638vc_000036	parrot talking	parrot talking	baby babbling	parrot squawking	squeaky toy squeaking	people eating crisps
rLa17dibI70_000175	children shouting	children shouting	monkeys chattering	children laughing	squeaky toy	sailing
aS5eOryeLbM_000210	singing bowl	singing bowl	gong ringing	singing bowl humming	tuning fork ringing	people screaming
TZl2cGkWZL4_000030	dog bow-wow	dog barking	cat meowing	dog coughing	squeaky toy	playing vibraphone
3sQrJVyxju0_000065	playing mandolin	playing mandolin	playing guitar	mandolin chiming	typing on keyboard	yodelling
acepdtp7F7Y_000348	people eating apple	eating apple	horse eating	eating celery	breaking twigs	snake rattling
kwJKOXT5XR8_000255	train wheels squealing	train wheels squealing	car brakes squealing	train wheels scraping	dragging metal object	firing cannon
aFfXpjfI2nk_000090	people coughing	people coughing	dog coughing	people hiccuping	squeezing rubber toy	horse neighing
4q9NPjOpWy8_000146	wood thrush calling	wood thrush calling	canary singing	wood thrush whistling	video game sounds	people sniggering
